title,categoryName,city,totalScore,reviewsCount
Pizza Hut Restoran - Daan Mogot Tangerang,Restoran Pizza,Kota Tangerang,4.6,4446.0
Seafood Serasa di Bali,Restoran Seafood,Tangerang kota,4.8,516.0
Warung Surabaya Cak Hazy,Restoran Jawa Timur,Kota Tangerang,4.7,1123.0
WAROENG SAMBAL BAKAR BABAKAN,Restoran,Kota Tangerang,4.4,1090.0
"Depot ""Sami Asih 1"" Surabaya",Restoran Jawa,Kota Tangerang,4.4,2114.0
PONDOK SATE JOGJA H OEMAR HANA,Restoran Sate,Kota Tangerang,4.5,628.0
Sop Durian Teh Mela,Restoran,Kota Tangerang,4.7,2429.0
NEWTOWN WATERPARK,Taman Rekreasi Air,Kota Tangerang,4.6,3241.0
Loteng Cafe Modernland,Kedai Kopi,Kota Tangerang,4.9,1426.0
I Am Geprek Bensu Sangiang jaya,Restoran Masakan Ayam,Kota Tangerang,4.3,919.0
HokBen Tangerang Kota,Restoran Jepang,Kota Tangerang,4.3,2837.0
Es'eS Cendol Duren & Seafood Laut Nusantara,Restoran,Kota Tangerang,4.3,691.0
Bubur Ayam Special ”Keluarga” Alex,Restoran Bubur,Kota Tangerang,4.7,578.0
Masjid Agung Nurul Yaqin (Masjid Pintu Seribu) Tangerang,Masjid,Kota Tangerang,4.4,1028.0
Ayam Penyet Surabaya marsekal,Restoran ayam penyet,Kota Tangerang,4.3,940.0
Sogogi Shabu & Grill Pasar Lama,Restoran Korea,Kota Tangerang,4.8,1900.0
Tropikana Waterpark Cimone,Taman Rekreasi Air,Kota Tangerang,4.1,1597.0
Funpark permata waterboom,Kolam Renang Umum,Kabupaten Tangerang,4.4,4847.0
Pondok Bakso Mas Boy Solo,Restoran Bakso,Kota Tangerang,4.6,762.0
Almaz Fried Chicken - Karawaci,Restoran,Jakarta,4.8,730.0
Kolam Renang Puri Beta 1,Kolam Renang Umum,Kota Tangerang,4.2,4838.0
"Sambal Bakar Indonesia, Pasar Lama",Restoran,Kota Tangerang,4.8,13041.0
Taman Eco Park,Taman,Kota Tangerang,4.5,787.0
Marcopolo Waterpark,Taman Rekreasi Air,Kota Tangerang,3.9,793.0
Tandon Ciater - Kota Tangerang Selatan,Tujuan Wisata,Tangerang,4.3,7374.0
Bakso Jono Mukti,Restoran Bakso,Kota Tangerang,4.5,2310.0
Rumah Makan Nyi Bara,Rumah Makan,Kota Tangerang,4.7,867.0
Warung Makan Echo Ayam Bakar,Restoran Masakan Ayam,Kota Tangerang,4.5,636.0
Bopet Bagindo Tangerang,Restoran Padang,Kota Tangerang,4.0,547.0
Pantai Pasir Putih PIK2,Tujuan Wisata,Kota Tangerang,4.3,3274.0
Bubur Ayam Kang Nana - Wong Cirebon,Restoran Bubur,Kota Tangerang,4.7,667.0
Funpark Rajeg waterpark,Taman Rekreasi Air,Kabupaten Tangerang,4.3,2111.0
Pantai Mabak Cilegon,Pantai Umum,Kota Cilegon,4.2,856.0
Museum Multatuli,Museum,Kabupaten Lebak,4.6,1117.0
Ocean Park BSD City Serpong,Taman Rekreasi Air,Kota Tangerang Selatan,4.5,20091.0
PANTAI ANYER TITIK NOL,Tujuan Wisata,Kabupaten Serang,4.5,846.0
Laksa Bihun Cie Ikim,Restoran Mie,Kota Tangerang,4.7,606.0
Taman Pintu Air,Taman,Kota Tangerang,4.4,573.0
Pantai Muara Kecil,Tujuan Wisata,Kabupaten Tangerang,4.4,522.0
Indonesia Convention Exhibition (ICE),Gedung Pertemuan,Kabupaten Tangerang,4.7,51056.0
Pantai Gopek Karangantu,Tujuan Wisata,Kota Serang,4.4,4090.0
Bakso Bandi,Restoran Bakso,Kota Tangerang,4.5,1573.0
Taman Mangrove Ketapang,Taman,Kabupaten Tangerang,4.4,1265.0
Tebing Koja,Tujuan Wisata,Kabupaten Tangerang,4.1,2707.0
Saiji Waterboom,Taman Hiburan,Kabupaten Tangerang,4.1,2086.0
Wisata Air Tirta Persada DM,Tujuan Wisata,Kabupaten Pandeglang,4.4,2978.0
Dapoer Iboe Resto,Restoran Sunda,Kabupaten Pandeglang,4.1,829.0
Pantai Sambolo 1 Anyer Serang Banten,Tujuan Wisata,Kabupaten Serang,4.3,2421.0
Aryana Aquaplay Kolam Renang Waterpark,Kolam Renang Umum,Kabupaten Tangerang,4.2,652.0
Bukit Teletubbies,Tujuan Wisata,Kota Cilegon,4.4,532.0
Kolam Renang Tembong,Kolam Renang,Kota Serang,3.9,782.0
Wisata Kampung Marengo Baduy Luar,Tujuan Wisata,Kabupaten Lebak,4.7,986.0
